file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099
MPI-M-MPI-ESM-LR_rcp45_r1i1p1_MPI-CSC-REMO2009_IP_0,NA,rcp45,MPI-CSC,IP,0,0.012905003,4.2386804,283.51068,0.010558754,93475950.0,0.0055500316,4.3510957,284.10886,0.004475844,40286280.0,0.0019027676,4.0343313,284.75134,0.0013280184,11610948.0,MPI-ESM-LR_r1,-0.007354971,-56.99318,0.11241531,2.65213,0.59817505,-0.00608291,-57.610115,-53189670.0,-0.011002235,-85.255585,-0.20434904,-4.8210535,1.2406616,-0.009230736,-87.422585,-81865010.0
CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_KNMI-RACMO22E_IP_5,NA,rcp26,KNMI,IP,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CNRM-CM5_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17_EU_1,NA,rcp85,CLMcom,EU,1,58.434296,2.8277364,274.43634,8.562272,294978420000.0,46.647755,2.936718,275.8351,7.395083,254803590000.0,25.75681,2.8426414,277.9274,5.451626,188043920000.0,EC-EARTH_r12,-11.786541,-20.170588,0.10898161,3.854023,1.3987732,-1.1671891,-13.631768,-40174830000.0,-32.677486,-55.921757,0.014904976,0.5270992,3.4910583,-3.1106462,-36.329685,-106934500000.0
ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5_SC_1,NA,rcp85,DMI,SC,1,280.24933,3.8225875,265.30408,27.217674,170124330000.0,225.55513,3.9155364,266.8468,25.514656,159492550000.0,108.85589,4.401617,269.99857,18.920256,118265905000.0,EC-EARTH_r3,-54.6942,-19.516264,0.09294891,2.4315705,1.5427246,-1.7030182,-6.2570305,-10631774000.0,-171.39343,-61.157482,0.57902956,15.147581,4.6944885,-8.297419,-30.485407,-51858424000.0
NCC-NorESM1-M_rcp85_r1i1p1_DMI-HIRHAM5_EA_2,NA,rcp85,DMI,EA,2,44.340076,4.79408,272.66223,10.62742,10637218000.0,20.563292,5.0539675,273.9682,7.513669,7530870000.0,10.957066,5.15062,275.7949,4.8873487,4912029000.0,NorESM1-M_r1,-23.776785,-53.623688,0.2598877,5.4210134,1.3059692,-3.1137514,-29.299223,-3106348000.0,-33.38301,-75.288574,0.3565402,7.437094,3.13266,-5.740072,-54.0119,-5725188600.0
ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-ETH-COSMO-crCLIM-v1.1_SC_1,NA,rcp85,CLMcom-ETH,SC,1,271.5896,3.25011,265.25797,29.148539,187938570000.0,218.21855,3.5629728,267.42813,27.632353,178092560000.0,118.52379,3.5658998,270.30478,22.907639,147537800000.0,EC-EARTH_r12,-53.371048,-19.65136,0.31286287,9.6262245,2.170166,-1.5161858,-5.2015843,-9846014000.0,-153.06581,-56.35923,0.31578994,9.716285,5.046814,-6.2409,-21.410679,-40400765000.0
MOHC-HadGEM2-ES_rcp26_r1i1p1_KNMI-RACMO22E_EU_2,NA,rcp26,KNMI,EU,2,97.79222,3.3573427,271.9131,15.931499,158518120000.0,62.000202,3.4296172,273.79678,12.17863,121196190000.0,56.917603,3.5111728,274.09872,11.674484,116186600000.0,HadGEM2-ES_r1,-35.79202,-36.600067,0.07227445,2.1527276,1.8836975,-3.7528687,-23.556282,-37321925000.0,-40.87462,-41.797413,0.15383005,4.581899,2.1856384,-4.2570143,-26.72074,-42331513000.0
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_SC_0,NA,rcp85,SMHI,SC,0,47.716774,2.0400715,268.22684,18.167742,585643700000.0,33.537308,2.2973034,270.49518,14.49421,467305700000.0,17.944304,2.626215,273.2544,9.486239,304857220000.0,MPI-ESM-LR_r2,-14.179466,-29.715895,0.25723195,12.608967,2.268341,-3.6735315,-20.220078,-118338030000.0,-29.77247,-62.39414,0.5861435,28.731518,5.0275574,-8.681502,-47.785255,-280786500000.0
MPI-M-MPI-ESM-LR_rcp85_r3i1p1_SMHI-RCA4_AL_3,NA,rcp85,SMHI,AL,3,201.69633,5.876975,267.019,25.995508,30159948000.0,132.4617,6.181087,268.91934,22.913073,26609668000.0,45.78415,6.9620175,272.5348,13.735674,15974561000.0,MPI-ESM-LR_r3,-69.234634,-34.32617,0.30411196,5.174634,1.9003296,-3.0824356,-11.85757,-3550279700.0,-155.91219,-77.30045,1.0850425,18.462603,5.5157776,-12.259834,-47.161354,-14185387000.0
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_AL_3,NA,rcp26,MPI-CSC,AL,3,113.94405,4.2939134,270.0285,14.808633,18000570000.0,110.30919,5.009495,271.07938,14.007309,17025320000.0,97.733826,4.675636,271.02423,13.523784,16460391000.0,MPI-ESM-LR_r1,-3.6348648,-3.1900434,0.7155814,16.665018,1.0508728,-0.8013239,-5.411194,-975250400.0,-16.210228,-14.2264805,0.38172245,8.88985,0.99572754,-1.2848492,-8.6763525,-1540179000.0
