file,month,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,pro_diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099,pro_diff_sca_2070-2099
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,May,rcp85,SMHI,AL,4,282.43442,5.308078,271.62604,28.231749380788493,94.10791,201.45135,4.6894035,273.1918,24.88879357614825,82.97372,53.510384,5.7124825,276.14374,12.750424723471363,42.512688,MPI-ESM-LR_r2,-80.98306,-28.673227,-0.6186743,-11.655335,1.5657654,-3.342955804640244,-11.841121708579285,-11.134193,-11.831305,-228.92404,-81.05388,0.40440464,7.6186647,4.5177,-15.48132465731713,-54.836575829948615,-51.595222,-54.8256
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Jun,rcp85,SMHI,AL,4,98.154335,4.0076737,275.09967,19.08567237854004,63.627254,58.664967,4.430846,276.83127,13.50643253326416,45.032814,6.0824857,4.618848,281.09665,2.7292397022247314,9.1001425,MPI-ESM-LR_r2,-39.48937,-40.231915,0.42317247,10.559054,1.7315979,-5.579239845275879,-29.232608286565714,-18.59444,-29.224018,-92.071846,-93.80314,0.6111741,15.250096,5.9969788,-16.356432676315308,-85.70005998167771,-54.52711,-85.69772
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Jul,rcp85,SMHI,AL,4,21.714315,3.7935007,277.49432,7.938879074588899,26.469978,8.349275,3.536627,279.95224,3.5860216233038136,11.956428,0.18124673,3.3730206,285.40945,0.11827957005270066,0.3944335,MPI-ESM-LR_r2,-13.365041,-61.549442,-0.2568736,-6.7714133,2.4579163,-4.352857451285085,-54.82962280176172,-14.513551,-54.830235,-21.53307,-99.16531,-0.42048,-11.084221,7.9151306,-7.820599504536198,-98.51012253818938,-26.075544,-98.50988
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Aug,rcp85,SMHI,AL,4,3.1855507,3.6862202,278.71683,1.8469157142023886,6.1585965,0.592575,3.8165221,281.3303,0.3384267130205708,1.1282619,0.0031866564,3.5761058,285.4645,0.0,0.0,MPI-ESM-LR_r2,-2.5929756,-81.398026,0.13030195,3.5348392,2.6134644,-1.5084890011818177,-81.67611491861044,-5.0303345,-81.679886,-3.182364,-99.89996,-0.110114336,-2.9871883,6.7476807,-1.8469157142023886,-100.0,-6.1585965,-100.00001
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Sep,rcp85,DMI,SC,3,22.513205,6.5808263,273.22504,11.30222225189209,37.66174,6.6038356,7.241348,275.52527,5.244444370269775,17.471888,0.25025544,5.7693496,279.72443,0.24666666984558105,0.82168925,HadGEM2-ES_r1,-15.9093685,-70.66683,0.6605215,10.037061,2.300232,-6.0577778816223145,-53.59811324368701,-20.189852,-53.60839,-22.262949,-98.888405,-0.8114767,-12.330925,6.4993896,-11.055555582046509,-97.81753831814547,-36.84005,-97.81824
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Okt,rcp85,DMI,SC,3,99.38045,5.8896365,268.62427,25.21075279481949,86.83184,33.882736,6.929216,272.17838,15.59784858457504,53.71753,11.818963,6.6817355,275.18097,7.546236438135947,25.983816,HadGEM2-ES_r1,-65.49771,-65.90603,1.0395794,17.650993,3.5541077,-9.612904210244452,-38.13017520135213,-33.11431,-38.13614,-87.561485,-88.10735,0.792099,13.44903,6.5567017,-17.664516356683546,-70.06738950021911,-60.848022,-70.07571
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Nov,rcp85,DMI,SC,3,251.48273,6.1201787,264.77856,29.97333335876465,99.911026,124.20475,6.0722976,267.2925,27.84666633605957,92.820244,74.01041,7.8127875,270.70877,21.579999923706055,71.9254,HadGEM2-ES_r1,-127.27798,-50.611023,-0.047881126,-0.7823485,2.5139465,-2.126667022705078,-7.095196911367914,-7.090782,-7.097097,-177.47232,-70.57038,1.6926088,27.656199,5.9302063,-8.393333435058594,-28.002669354772507,-27.985626,-28.010548
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Dec,rcp85,DMI,SC,3,415.3855,5.280039,261.04147,29.032258064516128,100.0,283.84375,6.5470033,264.1376,29.006451637514175,99.911026,199.32823,7.7267127,268.09,27.531182689051477,94.82834,HadGEM2-ES_r1,-131.54175,-31.66739,1.2669644,23.995361,3.0961304,-0.025806427001953125,-0.08888880411783855,-0.088974,-0.088974,-216.05727,-52.013676,2.4466739,46.33818,7.048523,-1.5010753754646515,-5.170370737711577,-5.1716614,-5.1716614
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Jan,rcp85,DMI,SC,3,578.045,6.1152234,261.54163,29.032258064516128,100.0,456.69434,6.0811095,262.75485,29.032258064516128,100.0,388.7349,7.7201934,265.87692,29.021506155690837,99.96298,HadGEM2-ES_r1,-121.35065,-20.993288,-0.034113884,-0.5578518,1.2132263,0.0,0.0,0.0,0.0,-189.31009,-32.750065,1.60497,26.245483,4.3352966,-0.010751908825291423,-0.037034352620448234,-0.037017822,-0.037017822
MOHC-HadGEM2-ES_rcp85_r1i1p1_DMI-HIRHAM5_SC_3,Feb,rcp85,DMI,SC,3,774.2165,7.0322037,262.02438,31.85840707964602,100.0,643.1365,6.1824512,263.2157,31.85840707964602,100.0,571.7794,6.2309856,266.19464,31.82300938969165,99.888725,HadGEM2-ES_r1,-131.08002,-16.930668,-0.8497524,-12.083729,1.1913147,0.0,0.0,0.0,0.0,-202.43707,-26.147346,-0.80121803,-11.393556,4.1702576,-0.035397689954372424,-0.11110941569011343,-0.11127472,-0.11127472
