file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,pro_diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099,pro_diff_sca_2070-2099
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_KNMI-RACMO22E_EA_4,NA,rcp85,KNMI,EA,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,MPI-ESM-LR_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_EU_2,NA,rcp26,MPI-CSC,EU,2,35.56669,2.6630547,274.28067,6.34202,21.029444,29.473324,2.7083821,275.1922,5.578332,18.492123,27.42073,2.802054,275.28827,5.5757604,18.46617,MPI-ESM-LR_r2,-6.0933647,-17.132225,0.045327425,1.702084,0.91152954,-0.7636881,-12.041717,-2.537321,-12.065565,-8.145958,-22.903336,0.13899922,5.2195406,1.0075989,-0.7662597,-12.082265,-2.5632744,-12.188979
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_SC_5,NA,rcp85,DMI,SC,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,IPSL-CM5A-MR_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPI-M-MPI-ESM-LR_rcp85_r3i1p1_GERICS-REMO2015_EU_mean,NA,rcp85,GERICS,EU,mean,18.073452,2.4848783,275.38113,6.03125,20.007875,10.487522,2.5254233,277.4076,3.8881042,12.895415,6.080712,2.6637108,279.59027,2.5026295,8.307023,MPI-ESM-LR_r3,-7.58593,-41.97278,0.040544987,1.6316689,2.0264587,-2.1431458,-35.534023,-7.11246,-35.548306,-11.992741,-66.35556,0.17883253,7.1968327,4.209137,-3.5286205,-58.505627,-11.700852,-58.48123
ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4_IP_0,NA,rcp45,SMHI,IP,0,0.045081675,2.8996649,281.36334,0.019372648,0.06489788,0.020079138,2.9533525,282.38794,0.008765716,0.029676734,0.012474864,3.0083714,283.04855,0.0052524093,0.017550722,EC-EARTH_r12,-0.025002537,-55.460533,0.053687572,1.8515096,1.0245972,-0.0106069315,-54.7521,-0.035221145,-54.27164,-0.03260681,-72.32831,0.108706474,3.7489324,1.6852112,-0.014120238,-72.8875,-0.04734716,-72.956406
ICHEC-EC-EARTH_rcp85_r3i1p1_KNMI-RACMO22E_IP_mean,NA,rcp85,KNMI,IP,mean,9.26705,2.695299,278.76398,2.0235648,6.740044,5.968623,2.626871,280.02997,1.367515,4.553549,2.1085885,2.585653,282.0866,0.57909304,1.9325097,EC-EARTH_r3,-3.2984266,-35.59306,-0.0684278,-2.5387833,1.2659912,-0.65604985,-32.4205,-2.1864953,-32.440372,-7.1584616,-77.24639,-0.10964584,-4.0680404,3.3226318,-1.4444718,-71.38254,-4.807534,-71.327934
NCC-NorESM1-M_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_IP_0,NA,rcp85,MOHC,IP,0,0.035792246,2.9046488,283.6082,0.023645094,0.07665505,0.007903802,2.8930326,284.99216,0.0039732847,0.013427248,0.016215438,2.3451343,286.6303,0.009221919,0.030690562,NorESM1-M_r1,-0.027888443,-77.91756,-0.01161623,-0.3999186,1.3839722,-0.019671809,-83.19615,-0.0632278,-82.48354,-0.019576808,-54.695667,-0.5595145,-19.262726,3.0221252,-0.014423175,-60.998596,-0.04596449,-59.962765
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_KNMI-RACMO22E_AL_4,NA,rcp85,KNMI,AL,4,356.91104,3.274227,262.76877,30.071283,99.53492,341.32626,3.518599,263.99298,29.826603,98.741165,246.20282,3.5874605,266.96158,27.879265,92.272385,CNRM-CM5_r1,-15.584778,-4.366572,0.24437213,7.4635067,1.2242126,-0.2446804,-0.813668,-0.7937546,-0.7974634,-110.70822,-31.018436,0.3132336,9.566643,4.19281,-2.1920185,-7.2894077,-7.262535,-7.2964697
NCC-NorESM1-M_rcp85_r1i1p1_ICTP-RegCM4-6_EA_0,NA,rcp85,ICTP,EA,0,7.1647215,1.610335,276.51303,4.7193255,15.744293,3.3961306,1.6582212,277.92337,2.7218487,9.07658,1.1620632,1.7705581,280.07416,0.96462506,3.2514746,NorESM1-M_r1,-3.768591,-52.599266,0.047886252,2.9736826,1.4103394,-1.9974768,-42.325474,-6.667713,-42.35003,-6.0026584,-83.78076,0.16022313,9.9496765,3.5611267,-3.7547004,-79.560104,-12.492819,-79.348236
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CNRM-ALADIN63_SC_0,NA,rcp85,CNRM,SC,0,48.59225,2.1653402,270.80365,16.689009,55.321796,29.311306,2.253381,272.51825,12.448678,41.36988,17.849518,2.7613966,274.79196,8.374217,27.827034,MPI-ESM-LR_r1,-19.280945,-39.679054,0.08804083,4.0659122,1.7145996,-4.2403307,-25.407925,-13.951916,-25.219563,-30.742733,-63.26674,0.59605646,27.52715,3.9883118,-8.314792,-49.821964,-27.494762,-49.69969
NCC-NorESM1-M_rcp85_r1i1p1_DMI-HIRHAM5_SC_1,NA,rcp85,DMI,SC,1,264.94897,4.154798,265.93698,26.805513,88.74509,209.43407,4.4570866,267.5684,24.56831,81.279526,155.11493,4.9455843,269.63425,20.96586,69.34567,NorESM1-M_r1,-55.514908,-20.953056,0.30228853,7.275649,1.6314087,-2.2372036,-8.346058,-7.465561,-8.412365,-109.834045,-41.454792,0.79078627,19.033087,3.6972656,-5.839653,-21.785269,-19.399414,-21.859705
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_EU_0,NA,rcp85,SMHI,EU,0,14.294742,2.4253402,275.07587,6.413453,21.025307,9.612701,2.7652123,276.91898,4.642442,15.203291,4.983857,3.0454385,279.15375,2.748307,8.93547,MPI-ESM-LR_r2,-4.68204,-32.753582,0.33987212,14.01338,1.8431091,-1.7710109,-27.613998,-5.822016,-27.690516,-9.310884,-65.13503,0.62009835,25.567478,4.077881,-3.665146,-57.14778,-12.089837,-57.50136
ICHEC-EC-EARTH_rcp85_r12i1p1_GERICS-REMO2015_IP_5,NA,rcp85,GERICS,IP,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EC-EARTH_r12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_GERICS-REMO2015_AL_1,NA,rcp26,GERICS,AL,1,7.9590187,3.8628387,275.29465,4.084229,13.548083,5.700056,4.1701474,276.51285,2.8328109,9.392626,4.51253,4.011089,276.48697,2.6388571,8.778861,CNRM-CM5_r1,-2.2589626,-28.382427,0.30730867,7.955514,1.2182007,-1.2514181,-30.640255,-4.1554575,-30.67192,-3.4464889,-43.302937,0.1482501,3.8378537,1.1923218,-1.4453719,-35.3891,-4.7692223,-35.202194
